"","model_spec","sid","method","regression_type","hajek","a","alpha","mean_est","mean_bias","coverage","failures","ase","ese","nsims"
"14","tcor_ocor",9,"otc","none",FALSE,0,0.5,1.08829783105088,-0.0180484865405195,0.934191702432046,0,0.0475342434513326,0.0466565216884715,1398
"15","tcor_ocor",9,"otc","none",FALSE,0,0.9,1.47355963611286,-0.032786681478545,0.927038626609442,0,0.0697461445212007,0.0672494156095341,1398
"16","tcor_ocor",9,"otc","none",FALSE,1,0.1,2.70423766625769,-0.00210865133371124,0.949928469241774,0,0.0936425509673546,0.0932924693463052,1398
"17","tcor_ocor",9,"otc","none",FALSE,1,0.5,3.08949947131967,-0.0168468462717372,0.919170243204578,0,0.0481398540370252,0.048858989526487,1398
"18","tcor_ocor",9,"otc","none",FALSE,1,0.9,3.47476127638164,-0.031585041209763,0.918454935622318,0,0.0617265940778662,0.060612538675548,1398
"19","tcor_ocor",9,"wls_dbr","wls",FALSE,0,0.1,0.727980823889914,0.0216345062985108,0.475679542203147,0,0.393886850936164,1.12380460913178,1398
"20","tcor_ocor",9,"wls_dbr","wls",FALSE,0,0.5,1.08848620112144,-0.0178601164699645,0.929184549356223,0,0.0518782198993293,0.0522947271337495,1398
"21","tcor_ocor",9,"wls_dbr","wls",FALSE,0,0.9,1.49039070062006,-0.0159556169713391,0.505007153075823,0,0.210264284329335,0.566914175579694,1398
"22","tcor_ocor",9,"wls_dbr","wls",FALSE,1,0.1,2.63872765205569,-0.0676186655357148,0.454935622317597,0,0.609834597774245,1.8470558766554,1398
"23","tcor_ocor",9,"wls_dbr","wls",FALSE,1,0.5,3.08975923102163,-0.0165870865697725,0.929184549356223,0,0.0549391561812957,0.0583990681328692,1398
"24","tcor_ocor",9,"wls_dbr","wls",FALSE,1,0.9,3.46442573276264,-0.0419205848287625,0.513590844062947,0,0.0941316287637999,0.24792365918877,1398
"25","tcor_omis",9,"dbr","none",FALSE,0,0.1,0.679083320067576,-0.0272629975238274,0.858166189111748,0,0.44679310491722,3.40218337325952,698
"26","tcor_omis",9,"dbr","none",FALSE,0,0.5,1.0962972072392,-0.0100491103522077,0.911174785100286,0,0.0893759942160168,0.119699061559846,698
"27","tcor_omis",9,"dbr","none",FALSE,0,0.9,1.57710363805946,0.0707573204680559,0.790830945558739,0,0.693529458036208,1.91320868604928,698
"28","tcor_omis",9,"dbr","none",FALSE,1,0.1,3.18244596295523,0.476099645363826,0.783667621776504,0,1.11642344780957,10.133822950125,698
"29","tcor_omis",9,"dbr","none",FALSE,1,0.5,3.08202917211964,-0.0243171454717677,0.919770773638969,0,0.0832971716997272,0.0875834803940726,698
"30","tcor_omis",9,"dbr","none",FALSE,1,0.9,3.4401177085115,-0.0662286090799054,0.818051575931232,0,0.328785538087529,1.29950328976561,698
"31","tcor_omis",9,"ipw","none",FALSE,0,0.1,0.620834815241118,-0.085511502350286,0.0744985673352436,0,0.710599497432612,8.42136067549359,698
"32","tcor_omis",9,"ipw","none",FALSE,0,0.5,1.09354367931084,-0.0128026382805686,0.936962750716332,0,0.0847188582490133,0.0870098394480377,698
"33","tcor_omis",9,"ipw","none",FALSE,0,0.9,1.52499270412573,0.0186463865343215,0.511461318051576,0,1.12375424562326,2.86654721621111,698
"34","tcor_omis",9,"ipw","none",FALSE,1,0.1,3.29935113263136,0.593004815039957,0.107449856733524,0,3.71125755453835,40.6029707803064,698
"35","tcor_omis",9,"ipw","none",FALSE,1,0.5,3.10947079977742,0.00312448218602063,0.939828080229226,0,0.211659275508969,0.231141097911161,698
"36","tcor_omis",9,"ipw","none",FALSE,1,0.9,3.68378541673733,0.177439099145929,0.373925501432665,0,2.99323467369222,16.0116382368344,698
"37","tcor_omis",9,"otc","none",FALSE,0,0.1,0.843162782874378,0.136816465282975,0.858166189111748,0,0.176898782004681,0.177202526447421,698
"38","tcor_omis",9,"otc","none",FALSE,0,0.5,1.28496969789257,0.178623380301169,0.216332378223496,0,0.0640406407092996,0.0658638725940754,698
"39","tcor_omis",9,"otc","none",FALSE,0,0.9,1.72677661291077,0.220430295319364,0.614613180515759,0,0.132276800674969,0.129869651201301,698
"40","tcor_omis",9,"otc","none",FALSE,1,0.1,2.48057036757349,-0.225775950017915,0.773638968481375,0,0.195211038956079,0.193490492843998,698
"41","tcor_omis",9,"otc","none",FALSE,1,0.5,2.92237728259168,-0.183969034999721,0.269340974212034,0,0.0712672484854191,0.0714746641970399,698
